date_posted,age,county,religion,tweet_text
16/09/2021,38,Kildare,Catholic,lapsedcat mattgreener darrengrime doubt d call terrorist sympathiser call power sharing deal sinn fein northern ireland k death later happen people get sick violence maybe   mass kill time
10/01/2021,65,Dublin,Catholic,adstack twitter twittersupport oconnellhugh sorry read austin sinn fein    ira ashamed
19/09/2014,56,Wexford,Catholic,squinteratn personally look people constant grind sinn fein leave pathetic people exhaust demoralise come 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣
08/07/2019,53,Waterford,Other,"hppyfrkr fromderry thelittlehous kilclooneyjohn dalepankhurst support peace democracy ireland support gfa 

 vote sinn féin   county ireland democracy"
09/02/2018,50,Leitrim,Catholic,"surprising absence usual procoalition response poll past year show large sinn féin lead current government reelect poll result 

 combine   fffggrn look easy"
17/11/2021,36,Limerick,Catholic,"late rofireland poll redcresearch businessposthq   sinn fein way ahead 
 sinn féin  
 fine gael    week 
 fianna fáil  
 green party 
 social democrats  
 labour  
 pbpsolidarity 
 aontú 
 independent 
 poll march"
13/08/2018,64,Fermanagh,Catholic,caulmick michaelkelly sinnfeinireland finegael fiannafailparty socdem greenpartyie labour pbp aontuie businessposthq strange colour sinn fein
15/12/2022,25,Carlow,Protestant,"tomorrow sunday business post red c poll dublin 
 finegael amp fiannafailparty drop like lead ve lose mandate govern 
 time election 
 support unpopular govt greenpartyie unconscionable 
 sinn féin abú"
24/08/2016,52,Laois,Protestant,caulmick realise refer fine gael blueshirt not refer sinn féin provisional ira utter ignorance irish political history not
11/02/2022,22,Laois,Catholic,herlihyronan live patch dirt sinn fein will win seat thing slightly different
21/03/2021,34,Carlow,Protestant,caulmick fine gael remove statement website fine gael spend couple week attack sinn fein remove statement website
26/06/2017,42,Limerick,Other,sinn féin point fgff combine constantly mid   kill fffg let try throw 🎼 🎶 🎶 high build barrier strong
30/08/2018,19,Sligo,Catholic,"pikecarrier gooncel buileshuibhne rodwebber lcrwnews splendidspoon sinn fein ira align sinn fein marxist 
 left ring wing ideology obviously tend correspond economic value 
 person world believe ira right wing believe nazi"
27/01/2018,63,Roscommon,Catholic,seaquatic sinn fein
13/09/2021,38,Antrim,Catholic,seaquatic sinn fein
27/04/2017,50,Offaly,Atheist,seaquatic sinn féin x
16/04/2022,45,Galway,Protestant,henno minority party go sinn fein assault election irish custom
22/06/2022,40,Laois,Catholic,lily available local   sinn féin   member
07/07/2013,38,Armagh,Other,look folk good friday agreement stuff sinn fein literally bunch murder terrorist scum move thing vote murderer
19/05/2015,58,Kilkenny,Catholic,ll vote sinn fein block sinn fein terrorist party period
20/04/2015,59,Sligo,Protestant,henno sinn fein fianna fáil government likely sound great
22/07/2018,64,Armagh,Protestant,rayminehane personally d soc dem leader situation preferable laboursbut voter ireland compromise want labour state principle know s possible ill settle sinn fein deliver know ill dissapointe
27/08/2014,65,Offaly,Protestant,prettyojamajo luego iré al irlandés podría ser por fulgur pero es para entender la propaganda del sinn fein
13/06/2013,28,Kerry,Protestant,sylvesterhakin wellif unionist think give democracy protest nip let sinnfein gain large number seat interest think mistaken throw baby bath water surely
09/09/2016,30,Cavan,Protestant,rayminehane honestly think anybody not trust sinn fein get soc dem help grow party well bet try force amalgamate labour soc dem     easily government time
08/07/2017,31,Laois,Catholic,cllrmichaellong planet vote sinn fein alliance
17/02/2013,31,Galway,Protestant,brexithome 😂 😂 😂 trigger article   cos sinn fein go to romp victory north 😂 😂 😂 😂 😂
27/01/2016,28,Meath,Protestant,paddyjbrown sdalliance allianceparty s case vote sinn fein
16/11/2013,20,Mayo,Catholic,"boris johnson urge trigger article   expert warn sinn féin set win northern ireland stormont election 

 come liz truss early month invoke mechanism hold ukraine crisis brexiteer fear delay 

 "
27/05/2020,49,Kilkenny,Catholic,"robertburn sound great sinn féin labour soc dem amp people profit organise protest 

 sin é"
05/10/2013,26,Fermanagh,Catholic,constant government media attack sinnfein work 😂 maybe government serve people instead serve break system suit people not think finegael fiannafail absolutely shite
17/08/2021,24,Tyrone,Catholic,"labour party leadership question confidence lucy role party leader 

 entire interview word word sinn féin discord"
13/12/2017,36,Wexford,Protestant,"admit election show colour mite sinn féin 

 aswell idea transparency foreign affair culture absolutely brilliant seeing unlike most actually idea clear 

 expose problem"
10/07/2021,35,Westmeath,Catholic,"phoblacht interview 

 today phoblacht xxliamrblx interview labour party member dylanhello 

 interview topic   dylan voting sinn féin labour party member 

 dylan sinn féin"
22/12/2017,34,Leitrim,Protestant,stewart willismmccullo beltel sinn fein institution betterment loyalist equivalent   ill wait
27/01/2022,36,Galway,Catholic,watpulster andrewrobert richardtgarland suppose advocate dup insist fuck unionist community opportunity sinn fein dup dominate assembly get currently want
16/03/2014,48,Donegal,Protestant,sinn féin radio amp tv week
17/07/2021,65,Offaly,Protestant,sinn féin maintain lead poll let support build
29/03/2015,38,Offaly,Protestant,gavreilly sinn fein earn support lifetime
03/01/2022,29,Waterford,Catholic,know protest day bbc year   bbc northern ireland voice sinn fein   shameful untrustworthy biased
02/06/2015,28,Louth,Protestant,"m get 

 sinn féin  
 fine gael  
 fianna fáil  
 social democrats  
 green  
 labour  
 pbpsolidarity 
 aontú  
 independent  

 "
19/12/2013,25,Leitrim,Atheist,"poll business postre c 
 march   moe 

 sinn féin  
 fine gael    week 
 fianna fáil  
 green party 
 social democrats  
 labour  
 pbpsolidarity 
 aontú 
 independent 

"
28/09/2021,25,Galway,Atheist,sinn féin lambaste ironic bill tackle online troll
